5 21 42
0 326 214
1 296 332
2 210 405
3 280 417
4 588 461
5 620 438
6 764 513
7 1066 477
8 1115 511
9 1150 436
10 1291 435
11 1315 395
12 1315 613
13 1486 583
14 1526 948
15 1419 1238
16 1315 1194
17 982 948
18 1051 682
19 885 703
20 851 866
0 1 1 25
1 0 1 25
1 2 1 60
2 1 1 60
2 3 1 45
3 2 1 45
1 4 3 295
4 1 3 295
4 5 1 30
5 4 1 30
4 6 2 220
6 4 2 220
6 19 3 40
19 6 3 40
19 20 1 50
20 19 1 50
17 20 2 150
20 17 2 150
6 7 2 85
7 6 2 85
7 9 1 115
9 7 1 115
7 8 1 25
8 7 1 25
18 19 1 35
19 18 1 35
9 18 3 160
18 9 3 160
17 18 3 160
18 17 3 160
16 17 4 565
17 16 4 565
15 16 1 250
16 15 1 250
14 15 3 165
15 14 3 165
12 14 4 190
14 12 4 190
12 13 2 45
13 12 2 45
10 12 1 85
12 10 1 85
10 11 1 50
9 10 1 175
10 9 1 175
